level	8	1	level	8	1	level	24	10220767	level	32	880051	sum	11100820
level	8	1	level	9	6	level	24	10024159	level	32	880051	sum	10904217
level	8	1	level	10	41	level	24	9549023	level	32	880051	sum	10429116
level	8	1	level	11	159	level	24	8918239	level	32	880051	sum	9798450
level	8	1	level	12	525	level	24	8070367	level	32	880051	sum	8950944
level	8	1	level	13	1473	level	24	7204063	level	32	880051	sum	8085588
level	8	1	level	14	3873	level	24	6254815	level	32	880051	sum	7138740
level	8	1	level	15	10027	level	24	5086943	level	32	880051	sum	5977022
level	8	1	level	16	26834	level	24	3351263	level	32	880051	sum	4258149
level	8	1	level	17	59965	level	24	2545247	level	32	880051	sum	3485264
level	8	1	level	18	130840	level	24	1847007	level	32	880051	sum	2857899
level	8	1	level	19	281600	level	24	1209567	level	32	880051	sum	2371219
level	8	1	level	20	592073	level	24	747599	level	32	880051	sum	2219724
level	8	1	level	21	1221494	level	24	448815	level	32	880051	sum	2550361
level	8	1	level	22	2493475	level	24	246867	level	32	880051	sum	3620394
level	8	1	level	23	5051029	level	24	118709	level	32	880051	sum	6049790
level	9	8	level	9	8	level	24	10024159	level	32	880051	sum	10904226
level	9	8	level	10	29	level	24	9549023	level	32	880051	sum	10429111
level	9	8	level	11	135	level	24	8918239	level	32	880051	sum	9798433
level	9	8	level	12	477	level	24	8070367	level	32	880051	sum	8950903
level	9	8	level	13	1377	level	24	7204063	level	32	880051	sum	8085499
level	9	8	level	14	3681	level	24	6254815	level	32	880051	sum	7138555
level	9	8	level	15	9643	level	24	5086943	level	32	880051	sum	5976645
level	9	8	level	16	26066	level	24	3351263	level	32	880051	sum	4257388
level	9	8	level	17	58429	level	24	2545247	level	32	880051	sum	3483735
level	9	8	level	18	127768	level	24	1847007	level	32	880051	sum	2854834
level	9	8	level	19	275456	level	24	1209567	level	32	880051	sum	2365082
level	9	8	level	20	579785	level	24	747599	level	32	880051	sum	2207443
level	9	8	level	21	1196918	level	24	448815	level	32	880051	sum	2525792
level	9	8	level	22	2444323	level	24	246867	level	32	880051	sum	3571249
level	9	8	level	23	4952725	level	24	118709	level	32	880051	sum	5951493
level	10	45	level	10	45	level	24	9549023	level	32	880051	sum	10429164
level	10	45	level	11	77	level	24	8918239	level	32	880051	sum	9798412
level	10	45	level	12	361	level	24	8070367	level	32	880051	sum	8950824
level	10	45	level	13	1145	level	24	7204063	level	32	880051	sum	8085304
level	10	45	level	14	3217	level	24	6254815	level	32	880051	sum	7138128
level	10	45	level	15	8715	level	24	5086943	level	32	880051	sum	5975754
level	10	45	level	16	24210	level	24	3351263	level	32	880051	sum	4255569
level	10	45	level	17	54717	level	24	2545247	level	32	880051	sum	3480060
level	10	45	level	18	120344	level	24	1847007	level	32	880051	sum	2847447
level	10	45	level	19	260608	level	24	1209567	level	32	880051	sum	2350271
level	10	45	level	20	550089	level	24	747599	level	32	880051	sum	2177784
level	10	45	level	21	1137526	level	24	448815	level	32	880051	sum	2466437
level	10	45	level	22	2325539	level	24	246867	level	32	880051	sum	3452502
level	10	45	level	23	4715157	level	24	118709	level	32	880051	sum	5713962
level	11	167	level	11	167	level	24	8918239	level	32	880051	sum	9798624
level	11	167	level	12	207	level	24	8070367	level	32	880051	sum	8950792
level	11	167	level	13	837	level	24	7204063	level	32	880051	sum	8085118
level	11	167	level	14	2601	level	24	6254815	level	32	880051	sum	7137634
level	11	167	level	15	7483	level	24	5086943	level	32	880051	sum	5974644
level	11	167	level	16	21746	level	24	3351263	level	32	880051	sum	4253227
level	11	167	level	17	49789	level	24	2545247	level	32	880051	sum	3475254
level	11	167	level	18	110488	level	24	1847007	level	32	880051	sum	2837713
level	11	167	level	19	240896	level	24	1209567	level	32	880051	sum	2330681
level	11	167	level	20	510665	level	24	747599	level	32	880051	sum	2138482
level	11	167	level	21	1058678	level	24	448815	level	32	880051	sum	2387711
level	11	167	level	22	2167843	level	24	246867	level	32	880051	sum	3294928
level	11	167	level	23	4399765	level	24	118709	level	32	880051	sum	5398692
level	12	541	level	12	541	level	24	8070367	level	32	880051	sum	8951500
level	12	541	level	13	423	level	24	7204063	level	32	880051	sum	8085078
level	12	541	level	14	1773	level	24	6254815	level	32	880051	sum	7137180
level	12	541	level	15	5827	level	24	5086943	level	32	880051	sum	5973362
level	12	541	level	16	18434	level	24	3351263	level	32	880051	sum	4250289
level	12	541	level	17	43165	level	24	2545247	level	32	880051	sum	3469004
level	12	541	level	18	97240	level	24	1847007	level	32	880051	sum	2824839
level	12	541	level	19	214400	level	24	1209567	level	32	880051	sum	2304559
level	12	541	level	20	457673	level	24	747599	level	32	880051	sum	2085864
level	12	541	level	21	952694	level	24	448815	level	32	880051	sum	2282101
level	12	541	level	22	1955875	level	24	246867	level	32	880051	sum	3083334
level	12	541	level	23	3975829	level	24	118709	level	32	880051	sum	4975130
level	13	1505	level	13	1505	level	24	7204063	level	32	880051	sum	8087124
level	13	1505	level	14	927	level	24	6254815	level	32	880051	sum	7137298
level	13	1505	level	15	4135	level	24	5086943	level	32	880051	sum	5972634
level	13	1505	level	16	15050	level	24	3351263	level	32	880051	sum	4247869
level	13	1505	level	17	36397	level	24	2545247	level	32	880051	sum	3463200
level	13	1505	level	18	83704	level	24	1847007	level	32	880051	sum	2812267
level	13	1505	level	19	187328	level	24	1209567	level	32	880051	sum	2278451
level	13	1505	level	20	403529	level	24	747599	level	32	880051	sum	2032684
level	13	1505	level	21	844406	level	24	448815	level	32	880051	sum	2174777
level	13	1505	level	22	1739299	level	24	246867	level	32	880051	sum	2867722
level	13	1505	level	23	3542677	level	24	118709	level	32	880051	sum	4542942
level	14	3937	level	14	3937	level	24	6254815	level	32	880051	sum	7142740
level	14	3937	level	15	2281	level	24	5086943	level	32	880051	sum	5973212
level	14	3937	level	16	11342	level	24	3351263	level	32	880051	sum	4246593
level	14	3937	level	17	28981	level	24	2545247	level	32	880051	sum	3458216
level	14	3937	level	18	68872	level	24	1847007	level	32	880051	sum	2799867
level	14	3937	level	19	157664	level	24	1209567	level	32	880051	sum	2251219
level	14	3937	level	20	344201	level	24	747599	level	32	880051	sum	1975788
level	14	3937	level	21	725750	level	24	448815	level	32	880051	sum	2058553
level	14	3937	level	22	1501987	level	24	246867	level	32	880051	sum	2632842
level	14	3937	level	23	3068053	level	24	118709	level	32	880051	sum	4070750
level	15	10155	level	15	10155	level	24	5086943	level	32	880051	sum	5987304
level	15	10155	level	16	6780	level	24	3351263	level	32	880051	sum	4248249
level	15	10155	level	17	19857	level	24	2545247	level	32	880051	sum	3455310
level	15	10155	level	18	50624	level	24	1847007	level	32	880051	sum	2787837
level	15	10155	level	19	121168	level	24	1209567	level	32	880051	sum	2220941
